segment,parameter,source_id,current_value,current_as_of,prior_value,prior_as_of,delta,pct_change
adi_sector_total,arrears,APRA_PERF_ALL_ADIS_ADI_SECTOR_TOTAL_NINETY_DPD_RATE,0.006000,2025-12-31,0.006000,2025-09-30,0.000000,0.000000
adi_sector_total,arrears,APRA_PERF_BANKS_ADI_SECTOR_TOTAL_NINETY_DPD_RATE,0.006000,2025-12-31,0.006000,2025-09-30,0.000000,0.000000
adi_sector_total,arrears,APRA_PERF_MAJOR_BANKS_ADI_SECTOR_TOTAL_NINETY_DPD_RATE,0.007000,2025-12-31,0.007000,2025-09-30,0.000000,0.000000
adi_sector_total,npl,APRA_PERF_ALL_ADIS_ADI_SECTOR_TOTAL_NPL_RATIO,0.011000,2025-12-31,0.012000,2025-09-30,-0.001000,-0.083333
adi_sector_total,npl,APRA_PERF_BANKS_ADI_SECTOR_TOTAL_NPL_RATIO,0.011000,2025-12-31,0.012000,2025-09-30,-0.001000,-0.083333
adi_sector_total,npl,APRA_PERF_MAJOR_BANKS_ADI_SECTOR_TOTAL_NPL_RATIO,0.011000,2025-12-31,0.012000,2025-09-30,-0.001000,-0.083333
commercial_property,npl,APRA_QPEX_ALL_ADIS_COMMERCIAL_PROPERTY_NPL_RATIO,0.006577,2025-12-31,0.007816,2025-09-30,-0.001239,-0.158532
commercial_property,npl,APRA_QPEX_BANKS_COMMERCIAL_PROPERTY_NPL_RATIO,0.006582,2025-12-31,0.007822,2025-09-30,-0.001240,-0.158544
commercial_property,npl,APRA_QPEX_MAJOR_BANKS_COMMERCIAL_PROPERTY_NPL_RATIO,0.006951,2025-12-31,0.007970,2025-09-30,-0.001019,-0.127842
residential_mortgage,npl,APRA_QPEX_ALL_ADIS_RESIDENTIAL_MORTGAGE_NPL_RATIO,0.009863,2025-12-31,0.010429,2025-09-30,-0.000566,-0.054284
residential_mortgage,npl,APRA_QPEX_BANKS_RESIDENTIAL_MORTGAGE_NPL_RATIO,0.009923,2025-12-31,0.010489,2025-09-30,-0.000566,-0.053917
residential_mortgage,npl,APRA_QPEX_MAJOR_BANKS_RESIDENTIAL_MORTGAGE_NPL_RATIO,0.010316,2025-12-31,0.010803,2025-09-30,-0.000487,-0.045085
